Timestamp,"There are many e-commerce sites or online shops that offer all kinds of facilities only to certain big cities  But through our website, we want to provide good service in the other cities as well. How do you feel about this move?","Most online shopping takes a long time to deliver but If you buy from your own district, it will take few hours or one day to deliver and if you buy from outside your district, it will take one or two days.   What do you think of this period?",Which of the following websites did you use before?,Do you want to buy products online from local shops?,If you are a small business owner are you interested in selling your products online?,Do you want to buy daily necessary things online?,"When you buy things, you can find the shops in your district and buy from all those shops as per the demand. What do you think this option will look like?",Which payment method do you use most often buying products online?,"For most of the products, we want to keep cash-on-delivery. What do you think this option will look like ?",Where would you like the location of the website menu bar?,You can also write here if you want to give your valuable feedback on how to improve our e-commerce site  
2020/11/19 11:57:03 PM GMT+6,Great idea,fast delivery,Daraz,Maybe,Yes,Maybe,Good,Cash on delivery,Very helpfull,Top,
2020/11/19 11:58:57 PM GMT+6,Wise decision,fast delivery,Daraz,Maybe,not a business owner but its a great idea,Maybe,Good,Bkash,Very helpfull,Bottom,
2020/11/20 12:03:00 AM GMT+6,Not a good idea,fast delivery,Daraz,Yes,Yes,Maybe,Good,Cash on delivery,Very helpfull,left,
2020/11/20 12:07:44 AM GMT+6,Wise decision,Fair delivery,Daraz,Maybe,not a business owner but its a great idea,Maybe,Good,Cash on delivery,Good,Right,
2020/11/20 12:10:27 AM GMT+6,Wise decision,fast delivery,Evaly,Maybe,not a business owner but its a great idea,Maybe,Good,Cash on delivery,Very helpfull,Top,
2020/11/20 12:26:05 AM GMT+6,Great idea,Fair delivery,Daraz;Chaldal,Yes,No,No,Good,Cash on delivery,Very helpfull,Top,good project
2020/11/20 12:50:00 AM GMT+6,Wise decision,fast delivery,Daraz,Yes,Yes,Yes,Good,Cash on delivery,Very helpfull,Top,
2020/11/20 4:34:14 AM GMT+6,Great idea,fast delivery,Pickaboo,Yes,Yes,Yes,Good,Bkash,Very helpfull,left,
2020/11/20 10:53:06 PM GMT+6,Great idea,fast delivery,AliExpress,No,Yes,Maybe,Good,Cash on delivery,Very helpfull,Right,
2020/11/20 10:53:18 PM GMT+6,Great idea,fast delivery,AliExpress,No,Yes,Maybe,Good,Cash on delivery,Very helpfull,Right,
